Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-20,12202.15,12222.2,12165.3,12182.5,304078039,10445.68
02-Jan-20,12198.55,12289.9,12195.25,12282.2,407697594,15256.55
03-Jan-20,12261.1,12265.6,12191.35,12226.65,428770054,16827.27
06-Jan-20,12170.6,12179.1,11974.2,11993.05,396501419,16869.22
07-Jan-20,12079.1,12152.15,12005.35,12052.95,447818617,17797.68
08-Jan-20,11939.1,12044.95,11929.6,12025.35,445991640,18281.15
09-Jan-20,12153.15,12224.05,12132.55,12215.9,477469878,18456.64
10-Jan-20,12271,12311.2,12213.2,12256.8,660627930,18818.62
13-Jan-20,12296.7,12337.75,12285.8,12329.55,500968242,17522.13
14-Jan-20,12333.1,12374.25,12308.7,12362.3,616260555,17948.92
15-Jan-20,12349.4,12355.15,12278.75,12343.3,684352965,17882.51
16-Jan-20,12347.1,12389.05,12315.8,12355.5,395670245,16004.06
17-Jan-20,12328.4,12385.45,12321.4,12352.35,502060615,21397.63
20-Jan-20,12430.5,12430.5,12216.9,12224.55,491609317,21415.43
21-Jan-20,12195.3,12230.05,12162.3,12169.85,443976442,18682.65
22-Jan-20,12218.35,12225.05,12087.9,12106.9,526294513,19758.68
23-Jan-20,12123.75,12189,12094.1,12180.35,867653663,23829.39
24-Jan-20,12174.55,12272.15,12149.65,12248.25,593237908,18032.27
27-Jan-20,12197.1,12216.6,12107,12119,441158138,17988.61
28-Jan-20,12148.1,12163.55,12024.5,12055.8,478484057,20917.62
29-Jan-20,12114.9,12169.6,12103.8,12129.5,514362340,20646.18
30-Jan-20,12147.75,12150.3,12010.6,12035.8,538138743,19372.67
31-Jan-20,12100.4,12103.55,11945.85,11962.1,771278258,26044.91
01-Feb-20,11939,12017.35,11633.3,11661.85,537634767,20598.12
03-Feb-20,11627.45,11749.85,11614.5,11707.9,669815788,25415.26
04-Feb-20,11786.25,11986.15,11783.4,11979.65,560430291,22338.5
05-Feb-20,12005.85,12098.15,11953.35,12089.15,758032580,22998.05
06-Feb-20,12120,12160.6,12084.65,12137.95,565116236,21735.92
07-Feb-20,12151.15,12154.7,12073.95,12098.35,473475144,16339.61
10-Feb-20,12102.35,12103.55,11990.75,12031.5,525674715,17185.14
11-Feb-20,12108.4,12172.3,12099,12107.9,480491557,16209.52
12-Feb-20,12151,12231.75,12144.3,12201.2,412399174,16598.33
13-Feb-20,12219.55,12225.65,12139.8,12174.65,501510138,16315.27
14-Feb-20,12190.15,12246.7,12091.2,12113.45,623053270,20759.51
17-Feb-20,12131.8,12159.6,12037,12045.8,455412408,15439.55
18-Feb-20,12028.25,12030.75,11908.05,11992.5,677307424,18853
19-Feb-20,12090.6,12134.7,12042.1,12125.9,514030605,17610.89
20-Feb-20,12119,12152,12071.45,12080.85,502875583,18831.51
24-Feb-20,12012.55,12012.55,11813.4,11829.4,491224913,19421.04
25-Feb-20,11877.5,11883.05,11779.9,11797.9,461349973,18510.82
26-Feb-20,11738.55,11783.25,11639.6,11678.5,567990976,21887.07
27-Feb-20,11661.25,11663.85,11536.7,11633.3,609266324,21623.47
28-Feb-20,11382,11384.8,11175.05,11201.75,810523106,32297.15
02-Mar-20,11387.35,11433,11036.25,11132.75,681148567,24204.55
03-Mar-20,11217.55,11342.25,11152.55,11303.3,696919348,23281.2
04-Mar-20,11351.35,11356.6,11082.15,11251,798021596,26928.46
05-Mar-20,11306.05,11389.5,11244.6,11269,1353209029,26980.65
06-Mar-20,10942.65,11035.1,10827.4,10989.45,1811564187,26455.29
09-Mar-20,10742.05,10751.55,10294.45,10451.45,1566119057,35151.79
11-Mar-20,10334.3,10545.1,10334,10458.4,1219079693,32548.47
12-Mar-20,10039.95,10040.75,9508,9590.15,1344263317,39283.97
13-Mar-20,9107.6,10159.4,8555.15,9955.2,1389061775,44167.89
16-Mar-20,9587.8,9602.2,9165.1,9197.4,898523271,29181.8
17-Mar-20,9285.4,9403.8,8915.6,8967.05,936185892,28004.16
18-Mar-20,9088.45,9127.55,8407.05,8468.8,1517275761,39256.71
19-Mar-20,8063.3,8575.45,7832.55,8263.45,926508824,34274.23
20-Mar-20,8284.45,8883,8178.2,8745.45,1072263600,37321.25
23-Mar-20,7945.7,8159.25,7583.6,7610.25,654151814,23891.9
24-Mar-20,7848.3,8036.95,7511.1,7801.05,739354439,28282.09
25-Mar-20,7735.15,8376.75,7714.75,8317.85,738114713,28482.01
26-Mar-20,8451,8749.05,8304.9,8641.45,866534643,32228.31
27-Mar-20,8949.1,9038.9,8522.9,8660.25,801923401,31336.86
30-Mar-20,8385.95,8576,8244,8281.1,593953051,24724.44
31-Mar-20,8529.35,8678.3,8358,8597.75,713390935,27401.3
01-Apr-20,8584.1,8588.1,8198.35,8253.8,507509685,21307.3
03-Apr-20,8356.55,8356.55,8055.8,8083.8,697752438,26561.18
07-Apr-20,8446.3,8819.4,8360.95,8792.2,815245226,35206.69
