Date,Open,High,Low,Close,Adj Close,Volume
2019-10-29,182.550003,185.750000,182.369995,184.800003,183.261414,1554000
2019-10-30,185.149994,187.039993,184.289993,186.580002,185.026581,1243300
2019-10-31,186.160004,188.059998,184.339996,185.419998,183.876236,1574800
2019-11-01,186.699997,188.350006,186.110001,188.220001,186.652924,1502100
2019-11-04,188.509995,189.169998,187.389999,187.800003,186.236435,1144500
2019-11-05,188.000000,188.000000,185.479996,186.880005,185.324081,1536600
2019-11-06,186.990005,189.270004,186.910004,189.229996,187.654526,1652200
2019-11-07,189.309998,190.199997,188.669998,189.089996,187.515686,1676800
2019-11-08,188.660004,189.710007,188.270004,189.699997,188.120605,1282400
2019-11-11,188.759995,190.460007,188.550003,190.059998,188.477600,1167000
2019-11-12,190.169998,191.649994,189.869995,191.429993,189.836197,1522800
2019-11-13,191.149994,194.770004,190.490005,194.500000,192.880646,1817700
2019-11-14,194.000000,196.410004,193.830002,196.250000,194.616074,1672900
2019-11-15,195.899994,197.559998,195.809998,196.809998,195.171402,2426200
2019-11-18,197.429993,198.949997,196.759995,198.020004,196.371338,1561000
2019-11-19,198.199997,198.750000,197.389999,198.339996,196.688675,1342200
2019-11-20,198.729996,199.759995,196.770004,197.710007,196.063919,1477300
2019-11-21,197.419998,197.929993,196.139999,196.779999,195.141663,1217400
2019-11-22,198.050003,198.419998,195.100006,196.660004,195.022659,1117900
2019-11-25,197.639999,198.380005,197.399994,198.360001,196.708511,1951900
2019-11-26,198.360001,201.000000,197.770004,200.919998,199.247177,2324500
2019-11-27,200.539993,201.360001,199.190002,201.250000,199.574448,1205000
2019-11-29,201.240005,201.660004,200.000000,201.160004,199.485199,750600
2019-12-02,201.440002,201.690002,198.050003,199.589996,197.928268,1262300
2019-12-03,197.539993,199.289993,196.470001,198.750000,197.095261,1243600
2019-12-04,199.759995,200.389999,199.240005,199.580002,197.918350,1221800
2019-12-05,200.000000,200.029999,198.880005,199.850006,198.186096,1816600
2019-12-06,201.399994,202.820007,200.490005,202.550003,200.863632,1345700
2019-12-09,201.770004,202.880005,201.440002,202.029999,200.347961,1976300
2019-12-10,202.029999,202.259995,200.869995,201.880005,200.199203,1403000
2019-12-11,202.130005,202.619995,200.339996,202.300003,200.615707,1669700
2019-12-12,202.160004,204.429993,201.240005,203.919998,202.222214,1932600
2019-12-13,203.059998,206.720001,203.009995,206.660004,204.939407,1648300
2019-12-16,207.119995,208.660004,204.970001,205.000000,203.293213,2702400
2019-12-17,205.000000,205.720001,202.949997,203.399994,201.706528,2377400
2019-12-18,203.600006,206.169998,203.509995,205.759995,204.046890,3002800
2019-12-19,202.059998,208.300003,202.059998,208.300003,206.565750,3759800
2019-12-20,211.110001,213.250000,209.070007,211.100006,209.342453,4148800
2019-12-23,210.960007,211.289993,208.839996,210.830002,209.074692,2220900
2019-12-24,210.710007,211.669998,210.559998,211.610001,209.848190,998500
2019-12-26,211.610001,212.119995,211.259995,212.050003,210.284531,1059800
2019-12-27,212.449997,212.630005,211.610001,212.220001,210.453110,1292200
2019-12-30,212.240005,212.240005,209.050003,210.639999,208.886261,1193900
2019-12-31,209.979996,211.059998,209.440002,210.570007,208.816864,1371000
2020-01-02,210.860001,211.919998,208.809998,210.149994,208.400330,2431100
2020-01-03,208.500000,210.630005,207.000000,209.800003,208.053253,1802100
2020-01-06,208.270004,208.789993,206.809998,208.429993,206.694672,2841400
2020-01-07,203.199997,206.259995,203.190002,203.929993,202.232117,3097400
2020-01-08,204.000000,205.449997,203.529999,204.330002,202.628815,2271300
2020-01-09,205.500000,207.279999,205.160004,206.149994,204.433640,2910600
2020-01-10,206.929993,208.309998,206.729996,207.660004,205.931076,1573100
2020-01-13,207.490005,209.839996,207.490005,209.589996,207.845001,2202800
2020-01-14,209.550003,211.000000,207.029999,207.729996,206.000488,2499100
2020-01-15,208.000000,208.440002,206.729996,207.259995,206.329010,1986000
2020-01-16,208.139999,209.100006,207.899994,208.979996,208.041290,2691600
2020-01-17,210.000000,210.649994,208.350006,209.199997,208.260300,2584500
2020-01-21,207.500000,210.160004,207.000000,209.149994,208.210526,2687200
2020-01-22,210.199997,211.860001,209.350006,209.410004,208.469360,1873600
2020-01-23,209.399994,210.809998,208.869995,210.679993,209.733643,2368400
2020-01-24,211.000000,211.589996,208.050003,208.570007,207.633133,2348900
2020-01-27,205.179993,207.839996,204.850006,206.550003,205.622208,1381300
2020-01-28,207.869995,210.960007,207.250000,210.240005,209.295639,1810200
2020-01-29,210.679993,211.210007,207.789993,207.960007,207.025879,1491600
2020-01-30,207.500000,208.929993,205.199997,208.369995,207.434021,1579600
2020-01-31,208.500000,209.630005,204.000000,205.210007,204.288239,1793600
2020-02-03,205.339996,208.419998,205.250000,207.800003,206.866592,2345700
2020-02-04,210.000000,213.789993,209.750000,212.529999,211.575348,2242800
2020-02-05,213.889999,214.460007,210.410004,212.220001,211.266739,2102500
2020-02-06,213.000000,214.380005,212.309998,214.160004,213.198029,1611500
2020-02-07,213.339996,213.389999,211.089996,211.580002,210.629608,1447700
2020-02-10,210.190002,212.970001,210.190002,212.550003,211.595261,1421600
2020-02-11,213.380005,213.979996,211.759995,212.139999,211.187088,1321000
2020-02-12,212.199997,212.869995,211.539993,211.990005,211.037781,1801300
2020-02-13,209.869995,213.539993,209.339996,212.399994,211.445923,1721200
2020-02-14,213.250000,213.539993,211.350006,212.369995,211.416061,2096600
2020-02-18,212.500000,214.059998,211.199997,213.759995,212.799820,1699400
2020-02-19,215.000000,216.389999,214.380005,215.919998,214.950119,1806000
2020-02-20,215.880005,216.320007,211.610001,213.899994,212.939178,1481700
2020-02-21,212.589996,213.550003,210.490005,211.889999,210.938217,2088800
2020-02-24,204.470001,207.869995,203.449997,204.360001,203.442047,2600400
2020-02-25,204.779999,205.479996,195.860001,197.100006,196.214661,2883600
2020-02-26,198.669998,201.449997,194.789993,195.669998,194.791077,2671100
2020-02-27,192.199997,194.350006,186.369995,186.440002,185.602539,3040100
2020-02-28,180.259995,183.199997,175.300003,180.589996,179.778809,5785200
2020-03-02,182.000000,189.820007,178.020004,189.550003,188.698563,4317900
2020-03-03,189.770004,191.899994,180.619995,182.220001,181.401489,3514000
2020-03-04,185.800003,189.710007,184.300003,188.860001,188.011673,3875400
2020-03-05,185.089996,187.460007,180.919998,182.559998,181.739960,3548200
2020-03-06,177.449997,180.309998,173.919998,178.750000,177.947083,3284400
2020-03-09,165.399994,170.880005,160.100006,164.110001,163.372833,5112200
2020-03-10,171.080002,174.740005,166.039993,174.559998,173.775894,4349500
2020-03-11,169.320007,171.169998,162.649994,165.110001,164.368347,5188300
2020-03-12,153.000000,158.750000,147.080002,152.529999,151.844849,6357900
2020-03-13,160.619995,166.710007,152.929993,166.509995,165.762054,5742800
2020-03-16,148.289993,166.509995,143.509995,152.539993,151.854797,5324900
2020-03-17,154.000000,160.660004,152.479996,157.710007,157.001602,6081100
2020-03-18,151.570007,159.800003,142.000000,151.149994,150.471054,5860200
2020-03-19,151.360001,177.800003,151.360001,158.500000,157.788040,6338300
2020-03-20,157.529999,159.470001,147.419998,149.940002,149.266495,6449700
2020-03-23,148.009995,148.009995,137.149994,143.690002,143.044571,6173700
2020-03-24,152.259995,157.630005,149.490005,156.850006,156.145462,4685100
2020-03-25,156.440002,159.690002,148.110001,151.820007,151.138046,4795500
2020-03-26,153.399994,171.600006,150.000000,171.339996,170.570358,5194500
2020-03-27,165.000000,169.289993,160.610001,162.880005,162.148376,3802500
2020-03-30,164.119995,170.369995,163.779999,169.820007,169.057205,2731300
2020-03-31,167.429993,169.880005,162.160004,163.259995,162.526657,2963000
2020-04-01,158.570007,160.820007,152.580002,154.679993,153.985184,2973100
2020-04-02,154.050003,160.500000,153.550003,156.270004,155.568054,3030000
2020-04-03,155.600006,158.720001,148.279999,152.149994,151.466553,3766600
2020-04-06,158.979996,166.750000,157.039993,166.050003,165.304123,3090000
2020-04-07,171.080002,171.490005,163.929993,164.119995,163.382797,3002500
2020-04-08,166.580002,172.690002,165.070007,171.729996,170.958603,2466200
2020-04-09,173.229996,179.869995,172.509995,177.919998,177.120804,3743700
2020-04-13,176.179993,177.009995,169.559998,172.570007,171.794846,1918500
2020-04-14,177.000000,178.889999,176.020004,178.100006,177.300003,2875000
2020-04-15,174.300003,174.309998,168.889999,169.449997,169.449997,2504700
2020-04-16,171.259995,172.050003,167.520004,167.949997,167.949997,3051800
2020-04-17,172.520004,175.160004,172.050003,175.089996,175.089996,4759100
2020-04-20,172.589996,176.899994,171.759995,174.740005,174.740005,2511700
2020-04-21,170.820007,172.800003,165.710007,166.240005,166.240005,2711400
2020-04-22,170.039993,173.339996,169.210007,172.309998,172.309998,1921200
2020-04-23,173.360001,175.320007,172.139999,172.899994,172.899994,3027900
2020-04-24,176.399994,176.399994,172.570007,175.460007,175.460007,2121100
2020-04-27,176.229996,180.539993,176.199997,179.429993,179.429993,2457800
2020-04-28,182.080002,183.259995,176.910004,178.360001,178.360001,2160100
2020-04-29,182.309998,188.169998,181.699997,187.559998,187.559998,2957600
2020-04-30,185.529999,186.479996,184.190002,185.190002,185.190002,2740800
2020-05-01,181.710007,182.990005,179.259995,180.089996,180.089996,2064200
2020-05-04,177.979996,180.639999,176.880005,179.529999,179.529999,1710500
2020-05-05,182.080002,183.889999,181.000000,181.619995,181.619995,1621900
2020-05-06,182.100006,182.500000,179.050003,180.380005,180.380005,1474900
2020-05-07,182.990005,187.429993,182.500000,187.110001,187.110001,2295400
2020-05-08,188.990005,189.850006,187.679993,188.559998,188.559998,1779200
2020-05-11,186.490005,189.529999,185.289993,187.750000,187.750000,2013800
2020-05-12,187.839996,189.990005,185.690002,185.720001,185.720001,1912300
2020-05-13,185.039993,185.139999,178.750000,181.000000,181.000000,2349300
2020-05-14,178.699997,180.009995,174.940002,179.990005,179.990005,2773300
2020-05-15,178.369995,183.960007,177.830002,183.880005,183.880005,3630000
