Date,Open,High,Low,Close,Adj Close,Volume
2019-05-17,2112.600098,2135.000000,2090.000000,2095.449951,2049.059814,1947908
2019-05-20,2125.000000,2151.399902,2050.000000,2143.949951,2096.485840,2625116
2019-05-21,2148.050049,2148.699951,2102.550049,2109.750000,2063.043213,1863157
2019-05-22,2110.000000,2121.949951,2075.000000,2081.750000,2035.662964,2595795
2019-05-23,2098.000000,2115.350098,2050.000000,2054.050049,2008.576538,2541294
2019-05-24,2070.000000,2070.000000,2032.250000,2048.000000,2002.660522,2274208
2019-05-27,2054.800049,2068.949951,2040.099976,2055.149902,2009.651978,2329820
2019-05-28,2060.000000,2097.500000,2045.000000,2073.750000,2027.840454,5872979
2019-05-29,2080.000000,2123.699951,2077.100098,2107.550049,2060.892090,3281320
2019-05-30,2123.000000,2156.550049,2114.399902,2146.300049,2098.784424,4971725
2019-05-31,2160.000000,2204.949951,2152.250000,2196.550049,2147.921875,4265370
2019-06-03,2201.000000,2247.649902,2185.649902,2242.300049,2192.658936,3682419
2019-06-04,2224.000000,2224.000000,2175.000000,2183.100098,2152.045166,2408658
2019-06-06,2199.000000,2199.000000,2152.000000,2166.100098,2135.286865,3735467
2019-06-07,2174.000000,2189.800049,2142.100098,2181.750000,2150.714111,2659446
2019-06-10,2196.699951,2235.850098,2185.500000,2231.500000,2199.756592,2080593
2019-06-11,2237.000000,2263.949951,2231.000000,2252.800049,2220.753662,3048937
2019-06-12,2245.000000,2266.899902,2219.000000,2260.899902,2228.738525,2404448
2019-06-13,2264.000000,2285.000000,2243.050049,2254.100098,2222.035156,3320916
2019-06-14,2257.250000,2263.100098,2234.000000,2254.500000,2222.429443,2131408
2019-06-17,2256.000000,2262.000000,2241.449951,2249.199951,2217.204590,1489497
2019-06-18,2244.000000,2260.000000,2231.199951,2250.850098,2218.831299,1877447
2019-06-19,2255.000000,2276.000000,2243.149902,2259.899902,2227.752197,1652817
2019-06-20,2230.000000,2284.000000,2212.000000,2277.949951,2245.545654,2199377
2019-06-21,2285.000000,2292.500000,2242.000000,2249.850098,2217.845703,3871804
2019-06-24,2254.149902,2280.000000,2250.800049,2275.500000,2243.130615,1382424
2019-06-25,2270.000000,2274.449951,2250.500000,2267.800049,2235.540283,1386077
2019-06-26,2265.000000,2266.800049,2250.000000,2254.199951,2222.133545,1762224
2019-06-27,2255.000000,2264.000000,2241.300049,2252.550049,2220.507080,2813464
2019-06-28,2260.000000,2261.949951,2222.500000,2227.199951,2195.517578,2372928
2019-07-01,2235.000000,2255.000000,2206.600098,2239.550049,2207.692139,2769940
2019-07-02,2244.899902,2257.000000,2216.449951,2252.100098,2220.063477,1771746
2019-07-03,2252.199951,2258.800049,2232.000000,2237.649902,2205.819092,1656881
2019-07-04,2234.000000,2252.000000,2230.100098,2242.649902,2210.747803,984140
2019-07-05,2247.000000,2250.000000,2140.000000,2163.100098,2132.329590,4088470
2019-07-08,2149.000000,2188.800049,2132.100098,2175.399902,2144.454346,2788062
2019-07-09,2174.000000,2174.399902,2104.550049,2133.350098,2103.002930,3977224
2019-07-10,2080.000000,2127.850098,2071.300049,2108.199951,2078.210449,6343581
2019-07-11,2128.000000,2129.000000,2086.050049,2102.550049,2072.640869,2400346
2019-07-12,2102.100098,2119.750000,2093.100098,2107.600098,2077.619385,1560725
2019-07-15,2125.000000,2153.600098,2098.000000,2145.699951,2115.177002,2900415
2019-07-16,2126.000000,2132.500000,2100.000000,2106.000000,2080.890869,2735399
2019-07-17,2108.000000,2125.000000,2092.100098,2117.250000,2092.006592,1802969
2019-07-18,2116.199951,2116.199951,2060.000000,2065.949951,2041.318359,3072096
2019-07-19,2077.000000,2097.000000,2062.500000,2076.949951,2052.187256,1953177
2019-07-22,2077.000000,2117.449951,2068.800049,2109.899902,2084.744141,1920167
2019-07-23,2127.899902,2130.000000,2102.399902,2112.449951,2087.263916,3538588
2019-07-24,2110.000000,2120.800049,2076.500000,2096.800049,2071.800537,2413196
2019-07-25,2108.899902,2135.000000,2092.550049,2127.899902,2102.529541,2544464
2019-07-26,2129.800049,2129.800049,2095.000000,2109.050049,2083.904541,1720592
2019-07-29,2110.800049,2142.000000,2103.300049,2130.000000,2104.604736,1647090
2019-07-30,2130.000000,2185.000000,2120.449951,2179.149902,2153.168701,2851672
2019-07-31,2171.750000,2211.699951,2147.149902,2205.699951,2179.402344,3000677
2019-08-01,2200.000000,2217.500000,2166.250000,2180.050049,2154.058105,2375236
2019-08-02,2173.000000,2210.000000,2165.500000,2205.300049,2179.006836,2500816
2019-08-05,2199.899902,2252.250000,2195.600098,2248.600098,2221.790527,3039682
2019-08-06,2232.800049,2251.949951,2211.449951,2214.899902,2188.492188,2885467
2019-08-07,2230.000000,2238.500000,2207.250000,2213.449951,2187.059570,2165362
2019-08-08,2228.899902,2281.000000,2218.899902,2258.100098,2231.177490,2073298
2019-08-09,2260.000000,2267.899902,2241.350098,2246.250000,2219.468750,1744550
2019-08-13,2245.000000,2246.250000,2194.300049,2199.449951,2173.226318,1647281
2019-08-14,2181.100098,2217.850098,2167.399902,2204.399902,2178.117188,1945002
2019-08-16,2241.399902,2241.399902,2143.250000,2165.100098,2139.286377,3755507
2019-08-19,2180.000000,2186.000000,2157.699951,2163.000000,2137.211182,974884
2019-08-20,2172.000000,2205.000000,2166.500000,2186.750000,2160.677979,1843611
2019-08-21,2184.949951,2202.000000,2182.250000,2186.199951,2160.134521,1214408
2019-08-22,2187.000000,2235.649902,2170.000000,2216.000000,2189.579346,2131601
2019-08-23,2214.949951,2259.899902,2213.899902,2247.699951,2220.901367,2826425
2019-08-26,2247.000000,2282.000000,2225.000000,2276.300049,2249.160400,2345475
2019-08-27,2270.000000,2274.850098,2229.000000,2236.500000,2209.834961,3432106
2019-08-28,2240.000000,2252.149902,2216.000000,2239.250000,2212.552002,1294621
2019-08-29,2222.199951,2248.199951,2222.199951,2233.449951,2206.821045,1670652
2019-08-30,2241.000000,2266.000000,2218.000000,2259.600098,2232.659424,2583625
2019-09-03,2270.000000,2296.199951,2236.949951,2251.600098,2224.755127,2545060
2019-09-04,2265.000000,2270.000000,2233.000000,2245.399902,2218.628662,2228092
2019-09-05,2242.199951,2253.649902,2207.300049,2215.300049,2188.887695,2055943
2019-09-06,2216.000000,2233.500000,2192.600098,2197.500000,2171.299805,1890550
2019-09-09,2200.000000,2202.850098,2179.800049,2182.850098,2156.824707,1703945
2019-09-11,2186.000000,2195.000000,2146.550049,2154.000000,2128.318604,2627440
2019-09-12,2155.000000,2165.000000,2120.350098,2133.600098,2108.161865,2118859
2019-09-13,2135.000000,2157.949951,2115.550049,2141.949951,2116.412109,2291174
2019-09-16,2159.949951,2173.399902,2126.399902,2150.000000,2124.366455,2597948
2019-09-17,2154.949951,2156.550049,2105.600098,2122.649902,2097.342285,2796530
2019-09-18,2126.399902,2142.949951,2113.149902,2138.550049,2113.052734,1454663
2019-09-19,2135.000000,2135.800049,2091.000000,2101.949951,2076.888916,1652691
2019-09-20,2104.899902,2129.399902,2057.000000,2065.449951,2040.824341,6941979
2019-09-23,2099.000000,2099.000000,1975.000000,2015.800049,1991.766235,6323401
2019-09-24,2015.000000,2061.000000,2013.000000,2044.699951,2020.321655,4620978
2019-09-25,2065.000000,2092.000000,2060.050049,2088.449951,2063.550049,4002232
2019-09-26,2097.899902,2107.000000,2063.000000,2087.600098,2062.710205,4234281
2019-09-27,2085.000000,2085.199951,2051.399902,2056.149902,2031.635132,2046795
2019-09-30,2061.850098,2104.000000,2060.000000,2099.300049,2074.270752,2620039
2019-10-01,2095.949951,2095.949951,2039.699951,2059.949951,2035.389893,3342877
2019-10-03,2070.000000,2081.149902,2046.150024,2060.250000,2035.686279,2317618
2019-10-04,2060.600098,2087.949951,2054.949951,2079.350098,2054.558838,2163251
2019-10-07,2080.000000,2094.500000,2041.000000,2047.699951,2023.285767,2177916
2019-10-09,2060.000000,2060.000000,2015.500000,2020.099976,1996.015015,2066920
2019-10-10,2028.000000,2039.050049,1997.099976,2004.449951,1980.551514,2881452
2019-10-11,1931.000000,1995.000000,1925.000000,1986.849976,1963.161377,12593069
2019-10-14,1995.000000,2032.750000,1968.000000,2021.000000,1996.904175,3510704
